3-2121,\u3000
3-2122,\u3001
3-2123,\u3002
3-2124,\u002c
3-2125,\u002e
3-2126,\u30fb
3-2127,\u003a
3-2128,\u003b
3-2129,\u003f
3-212a,\u0021
3-212b,\u309b
3-212c,\u309c
3-212d,\u00b4
3-212e,\u0060
3-212f,\u00a8
3-2130,\u005e
3-2131,\u203e
3-2132,\u005f
3-2133,\u30fd
3-2134,\u30fe
3-2135,\u309d
3-2136,\u309e
3-2137,\u3003
3-2138,\u4edd
3-2139,\u3005
3-213a,\u3006
3-213b,\u3007
3-213c,\u30fc
3-213d,\u2014
3-213e,\u2010
3-213f,\u002f
3-2140,\u005c
3-2141,\u301c
3-2142,\u2016
3-2143,\u007c
3-2144,\u2026
3-2145,\u2025
3-2146,\u2018
3-2147,\u2019
3-2148,\u201c
3-2149,\u201d
3-214a,\u0028
3-214b,\u0029
3-214c,\u3014
3-214d,\u3015
3-214e,\u005b
3-214f,\u005d
3-2150,\u007b
3-2151,\u007d
3-2152,\u3008
3-2153,\u3009
3-2154,\u300a
3-2155,\u300b
3-2156,\u300c
3-2157,\u300d
3-2158,\u300e
3-2159,\u300f
3-215a,\u3010
3-215b,\u3011
3-215c,\u002b
3-215d,\u2212
3-215e,\u00b1
3-215f,\u00d7
3-2160,\u00f7
3-2161,\u003d
3-2162,\u2260
3-2163,\u003c
3-2164,\u003e
3-2165,\u2266
3-2166,\u2267
3-2167,\u221e
3-2168,\u2234
3-2169,\u2642
3-216a,\u2640
3-216b,\u00b0
3-216c,\u2032
3-216d,\u2033
3-216e,\u2103
3-216f,\u00a5
3-2170,\u0024
3-2171,\u00a2
3-2172,\u00a3
3-2173,\u0025
3-2174,\u0023
3-2175,\u0026
3-2176,\u002a
3-2177,\u0040
3-2178,\u00a7
3-2179,\u2606
3-217a,\u2605
3-217b,\u25cb
3-217c,\u25cf
3-217d,\u25ce
3-217e,\u25c7
3-2221,\u25c6
3-2222,\u25a1
3-2223,\u25a0
3-2224,\u25b3
3-2225,\u25b2
3-2226,\u25bd
3-2227,\u25bc
3-2228,\u203b
3-2229,\u3012
3-222a,\u2192
3-222b,\u2190
3-222c,\u2191
3-222d,\u2193
3-222e,\u3013
3-222f,\u0027
3-2230,\u0022
3-2231,\u002d
3-2232,\u007e
3-2233,\u3033
3-2234,\u3034
3-2235,\u3035
3-2236,\u303b
3-2237,\u303c
3-2238,\u30ff
3-2239,\u309f
3-223a,\u2208
3-223b,\u220b
3-223c,\u2286
3-223d,\u2287
3-223e,\u2282
3-223f,\u2283
3-2240,\u222a
3-2241,\u2229
3-2242,\u2284
3-2243,\u2285
3-2244,\u228a
3-2245,\u228b
3-2246,\u2209
3-2247,\u2205
3-2248,\u2305
3-2249,\u2306
3-224a,\u2227
3-224b,\u2228
3-224c,\u00ac
3-224d,\u21d2
3-224e,\u21d4
3-224f,\u2200
3-2250,\u2203
3-2251,\u2295
3-2252,\u2296
3-2253,\u2297
3-2254,\u2225
3-2255,\u2226
3-2256,\uff5f
3-2257,\uff60
3-2258,\u3018
3-2259,\u3019
3-225a,\u3016
3-225b,\u3017
3-225c,\u2220
3-225d,\u22a5
3-225e,\u2312
3-225f,\u2202
3-2260,\u2207
3-2261,\u2261
3-2262,\u2252
3-2263,\u226a
3-2264,\u226b
3-2265,\u221a
3-2266,\u223d
3-2267,\u221d
3-2268,\u2235
3-2269,\u222b
3-226a,\u222c
3-226b,\u2262
3-226c,\u2243
3-226d,\u2245
3-226e,\u2248
3-226f,\u2276
3-2270,\u2277
3-2271,\u2194
3-2272,\u212b
3-2273,\u2030
3-2274,\u266f
3-2275,\u266d
3-2276,\u266a
3-2277,\u2020
3-2278,\u2021
3-2279,\u00b6
3-227a,\u266e
3-227b,\u266b
3-227c,\u266c
3-227d,\u2669
3-227e,\u25ef
3-2321,\u25b7
3-2322,\u25b6
3-2323,\u25c1
3-2324,\u25c0
3-2325,\u2197
3-2326,\u2198
3-2327,\u2196
3-2328,\u2199
3-2329,\u21c4
3-232a,\u21e8
3-232b,\u21e6
3-232c,\u21e7
3-232d,\u21e9
3-232e,\u2934
3-232f,\u2935
3-2330,\u0030
3-2331,\u0031
3-2332,\u0032
3-2333,\u0033
3-2334,\u0034
3-2335,\u0035
3-2336,\u0036
3-2337,\u0037
3-2338,\u0038
3-2339,\u0039
3-233a,\u29bf
3-233b,\u25c9
3-233c,\u303d
3-233d,\ufe46
3-233e,\ufe45
3-233f,\u25e6
3-2340,\u2022
3-2341,\u0041
3-2342,\u0042
3-2343,\u0043
3-2344,\u0044
3-2345,\u0045
3-2346,\u0046
3-2347,\u0047
3-2348,\u0048
3-2349,\u0049
3-234a,\u004a
3-234b,\u004b
3-234c,\u004c
3-234d,\u004d
3-234e,\u004e
3-234f,\u004f
3-2350,\u0050
3-2351,\u0051
3-2352,\u0052
3-2353,\u0053
3-2354,\u0054
3-2355,\u0055
3-2356,\u0056
3-2357,\u0057
3-2358,\u0058
3-2359,\u0059
3-235a,\u005a
3-235b,\u2213
3-235c,\u2135
3-235d,\u210f
3-235e,\u33cb
3-235f,\u2113
3-2360,\u2127
3-2361,\u0061
3-2362,\u0062
3-2363,\u0063
3-2364,\u0064
3-2365,\u0065
3-2366,\u0066
3-2367,\u0067
3-2368,\u0068
3-2369,\u0069
3-236a,\u006a
3-236b,\u006b
3-236c,\u006c
3-236d,\u006d
3-236e,\u006e
3-236f,\u006f
3-2370,\u0070
3-2371,\u0071
3-2372,\u0072
3-2373,\u0073
3-2374,\u0074
3-2375,\u0075
3-2376,\u0076
3-2377,\u0077
3-2378,\u0078
3-2379,\u0079
3-237a,\u007a
3-237b,\u30a0
3-237c,\u2013
3-237d,\u29fa
3-237e,\u29fb
3-2421,\u3041
3-2422,\u3042
3-2423,\u3043
3-2424,\u3044
3-2425,\u3045
3-2426,\u3046
3-2427,\u3047
3-2428,\u3048
3-2429,\u3049
3-242a,\u304a
3-242b,\u304b
3-242c,\u304c
3-242d,\u304d
3-242e,\u304e
3-242f,\u304f
3-2430,\u3050
3-2431,\u3051
3-2432,\u3052
3-2433,\u3053
3-2434,\u3054
3-2435,\u3055
3-2436,\u3056
3-2437,\u3057
3-2438,\u3058
3-2439,\u3059
3-243a,\u305a
3-243b,\u305b
3-243c,\u305c
3-243d,\u305d
3-243e,\u305e
3-243f,\u305f
3-2440,\u3060
3-2441,\u3061
3-2442,\u3062
3-2443,\u3063
3-2444,\u3064
3-2445,\u3065
3-2446,\u3066
3-2447,\u3067
3-2448,\u3068
3-2449,\u3069
3-244a,\u306a
3-244b,\u306b
3-244c,\u306c
3-244d,\u306d
3-244e,\u306e
3-244f,\u306f
3-2450,\u3070
3-2451,\u3071
3-2452,\u3072
3-2453,\u3073
3-2454,\u3074
3-2455,\u3075
3-2456,\u3076
3-2457,\u3077
3-2458,\u3078
3-2459,\u3079
3-245a,\u307a
3-245b,\u307b
3-245c,\u307c
3-245d,\u307d
3-245e,\u307e
3-245f,\u307f
3-2460,\u3080
3-2461,\u3081
3-2462,\u3082
3-2463,\u3083
3-2464,\u3084
3-2465,\u3085
3-2466,\u3086
3-2467,\u3087
3-2468,\u3088
3-2469,\u3089
3-246a,\u308a
3-246b,\u308b
3-246c,\u308c
3-246d,\u308d
3-246e,\u308e
3-246f,\u308f
3-2470,\u3090
3-2471,\u3091
3-2472,\u3092
3-2473,\u3093
3-2474,\u3094
3-2475,\u3095
3-2476,\u3096
3-2477,\u304b\u309a
3-2478,\u304d\u309a
3-2479,\u304f\u309a
3-247a,\u3051\u309a
3-247b,\u3053\u309a
3-2521,\u30a1
3-2522,\u30a2
3-2523,\u30a3
3-2524,\u30a4
3-2525,\u30a5
3-2526,\u30a6
3-2527,\u30a7
3-2528,\u30a8
3-2529,\u30a9
3-252a,\u30aa
3-252b,\u30ab
3-252c,\u30ac
3-252d,\u30ad
3-252e,\u30ae
3-252f,\u30af
3-2530,\u30b0
3-2531,\u30b1
3-2532,\u30b2
3-2533,\u30b3
3-2534,\u30b4
3-2535,\u30b5
3-2536,\u30b6
3-2537,\u30b7
3-2538,\u30b8
3-2539,\u30b9
3-253a,\u30ba
3-253b,\u30bb
3-253c,\u30bc
3-253d,\u30bd
