作品ID,作品名,作品名読み,ソート用読み,副題,副題読み,原題,初出,分類番号,文字遣い種別,作品著作権フラグ,公開日,最終更新日,図書カードURL,人物ID,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,役割フラグ,生年月日,没年月日,人物著作権フラグ,底本名1,底本出版社名1,底本初版発行年1,入力に使用した版1,校正に使用した版1,底本の親本名1,底本の親本出版社名1,底本の親本初版発行年1,底本名2,底本出版社名2,底本初版発行年2,入力に使用した版2,校正に使用した版2,底本の親本名2,底本の親本出版社名2,底本の親本初版発行年2,入力者,校正者,テキストファイルURL,テキストファイル最終更新日,テキストファイル符号化方式,テキストファイル文字集合,テキストファイル修正回数,XHTML/HTMLファイルURL,XHTML/HTMLファイル最終更新日,XHTML/HTMLファイル符号化方式,XHTML/HTMLファイル文字集合,XHTML/HTMLファイル修正回数
"060357","新浦島","しんうらしま","しんうらしま","","","RIP VAN WINKLE. EINE NACHGELASSENE SCHRIFT VON DIETRICH KNICKERBOCKER.","「少年園　第二巻　第十三号」1889（明治22）年5月3日<br>「少年園　第二巻　第十四号」1889（明治22）年5月18日<br>「少年園　第二巻　第十五号」1889（明治22）年6月3日<br>「少年園　第二巻　第十六号」1889（明治22）年6月18日<br>「少年園　第二巻　第十七号」1889（明治22）年7月3日<br>「少年園　第二巻　第十八号」1889（明治22）年7月18日<br>「少年園　第二巻　第二十号」1889（明治22）年8月18日","NDC K933","新字旧仮名","なし",2022-07-09,2022-06-26,"https://www.aozora.gr.jp/cards/001257/card60357.html","001257","アーヴィング","ワシントン","アーヴィング","ワシントン","ああういんく","わしんとん","Irving","Washington","著者","1783-04-03","1859-11-28","なし","鴎外選集　第16巻","岩波書店","1980（昭和55）年2月22日","1980（昭和55）年6月30日第2刷","1980（昭和55）年2月22日第1刷","","","","","","","","","","","","砂場清隆","岡村和彦","https://www.aozora.gr.jp/cards/001257/files/60357_ruby_75861.zip","2022-06-26","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001257/files/60357_75896.html","2022-06-26","ShiftJIS","JIS X 0208","0"
"049328","大久保湖州","おおくぼこしゅう","おおくほこしゆう","","","","（上）「女性改造　第三巻第五号」1924（大正13）年5月1日、（下）「女性改造　第三巻第六号」1924（大正13）年6月1日","NDC 289 914","新字旧仮名","なし",2008-12-21,2014-09-21,"https://www.aozora.gr.jp/cards/000879/card49328.html","000879","芥川","竜之介","あくたがわ","りゅうのすけ","あくたかわ","りゆうのすけ","Akutagawa","Ryunosuke","著者","1892-03-01","1927-07-24","なし","芥川龍之介全集　第十一巻","岩波書店","1996（平成8）年9月9日","1996（平成8）年9月9日","","梅・馬・鶯","新潮社","1926（大正15）年12月25日","","","","","","","","","もりみつじゅんじ","土屋隆","https://www.aozora.gr.jp/cards/000879/files/49328_ruby_33094.zip","2008-12-03","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000879/files/49328_33646.html","2008-12-03","ShiftJIS","JIS X 0208","0"
"033204","遺稿","いこう","いこう","","","","","NDC 913","旧字旧仮名","なし",2003-09-13,2014-09-18,"https://www.aozora.gr.jp/cards/000050/card33204.html","000050","泉","鏡花","いずみ","きょうか","いすみ","きようか","Izumi","Kyoka","著者","1873-11-04","1939-09-07","なし","鏡花全集　第二十四巻","岩波書店","1940（昭和15）年6月30日","1988（昭和63）年8月2日第3刷","1988（昭和63）年8月2日第3刷","","","","","","","","","","","","門田裕志","多羅尾伴内","https://www.aozora.gr.jp/cards/000050/files/33204_ruby_12203.zip","2003-09-03","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000050/files/33204_12204.html","2003-09-03","ShiftJIS","JIS X 0208","0"
"060609","雨月物語","うげつものがたり","うけつものかたり","02 現代語訳　雨月物語","02 げんだいごやく　うげつものがたり","","「雨月物語」角川文庫、角川書店、1959（昭和34）年11月30日","","新字新仮名","なし",2023-08-08,2023-10-09,"https://www.aozora.gr.jp/cards/001271/card60609.html","001271","上田","秋成","うえだ","あきなり","うえた","あきなり","Ueda","Akinari","著者","1734-07-25","1809-08-08","なし","改訂　雨月物語　現代語訳付き","角川文庫、KADOKAWA","2006（平成18）年7月25日","2020（令和2）年5月15日26版","2021（令和3）年3月5日30版","雨月物語","野梅堂","1776（安永5）年4月","","","","","","","","","砂場清隆","みきた","https://www.aozora.gr.jp/cards/001271/files/60609_ruby_77360.zip","2023-10-09","ShiftJIS","JIS X 0208","1","https://www.aozora.gr.jp/cards/001271/files/60609_77359.html","2023-10-09","ShiftJIS","JIS X 0208","1"
"060608","雨月物語","うげつものがたり","うけつものかたり","03 校注　雨月物語","03 こうちゅう　うげつものがたり","","「雨月物語」角川文庫、角川書店、1959（昭和34）年11月30日","","新字旧仮名","なし",2024-06-12,2024-06-08,"https://www.aozora.gr.jp/cards/001271/card60608.html","001271","上田","秋成","うえだ","あきなり","うえた","あきなり","Ueda","Akinari","著者","1734-07-25","1809-08-08","なし","改訂　雨月物語　現代語訳付き","角川文庫、KADOKAWA","2006（平成18）年7月25日","2020（令和2）年5月15日26版","2021（令和3）年3月5日30版","雨月物語","野梅堂","1776（安永5）年4月","","","","","","","","","砂場清隆","みきた","https://www.aozora.gr.jp/cards/001271/files/60608_ruby_77892.zip","2024-05-29","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001271/files/60608_77891.html","2024-05-29","ShiftJIS","JIS X 0208","0"
"056634","幻化","げんか","けんか","","","","「新潮」新潮社、1965（昭和40）年6月","NDC 913","新字新仮名","なし",2016-02-29,2016-01-01,"https://www.aozora.gr.jp/cards/001798/card56634.html","001798","梅崎","春生","うめざき","はるお","うめさき","はるお","Umezaki","Haruo","著者","1915-02-15","1965-07-19","なし","桜島・日の果て・幻化","講談社文芸文庫、講談社","1989（平成元）年6月10日","1989（平成元）年6月10日第1刷","2014（平成26）年2月3日第20刷","梅崎春生全集　第六巻","新潮社","1967（昭和42）年5月10日","","","","","","","","","kompass","酒井裕二","https://www.aozora.gr.jp/cards/001798/files/56634_ruby_58202.zip","2016-01-01","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001798/files/56634_58211.html","2016-01-01","ShiftJIS","JIS X 0208","0"
"001255","海野十三敗戦日記","うんのじゅうざはいせんにっき","うんのしゆうさはいせんにつき","","","","","NDC 915","新字新仮名","なし",2001-01-13,2014-09-17,"https://www.aozora.gr.jp/cards/000160/card1255.html","000160","海野","十三","うんの","じゅうざ","うんの","しゆうさ","Unno","Juza","著者","1897-12-26","1949-05-17","なし","海野十三全集　別巻2　日記・書簡・雑纂","三一書房","1993（平成5）年1月31日","1993（平成5）年1月31日第1版第1刷","1993（平成5）年1月31日第1版第1刷","海野十三敗戦日記、橋本哲男編","講談社","1971（昭和46）年7月24日","","","","","","","","","青空文庫","伊藤時也","https://www.aozora.gr.jp/cards/000160/files/1255_ruby_6570.zip","2012-12-19","ShiftJIS","JIS X 0208","2","https://www.aozora.gr.jp/cards/000160/files/1255_6571.html","2012-12-19","ShiftJIS","JIS X 0208","1"
"051731","古事記","こじき","こしき","02 校註　古事記","02 こうちゅう　こじき","","","NDC 210","その他","なし",2013-07-15,2015-08-14,"https://www.aozora.gr.jp/cards/001518/card51731.html","001518","太","安万侶","おおの","やすまろ","おおの","やすまろ","oono","yasumaro","著者","","723-08-15","なし","古事記","角川文庫、角川書店","1956（昭和31）年5月20日","1965（昭和40）年9月20日20版","1975（昭和50）年9月30日42版","眞福寺本","　","","","","","","","","","","川山隆","しだひろし","https://www.aozora.gr.jp/cards/001518/files/51731_ruby_50520.zip","2013-05-21","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001518/files/51731_50813.html","2013-05-21","ShiftJIS","JIS X 0208","0"
"045231","オフェリヤ殺し","オフェリヤごろし","おふえりやころし","","","","「改造」改造社、1935（昭和10）年2月号","NDC 913","新字新仮名","なし",2007-02-20,2014-09-21,"https://www.aozora.gr.jp/cards/000125/card45231.html","000125","小栗","虫太郎","おぐり","むしたろう","おくり","むしたろう","Oguri","Mushitaro","著者","1901-03-14","1946-02-10","なし","二十世紀鉄仮面　小栗虫太郎全作品4","桃源社","1979（昭和54）年3月15日","1979（昭和54）年3月15日","1997（平成9）年9月15日第4回配本","二十世紀鉄仮面","桃源社","1971（昭和46）年11月15日","","","","","","","","","ロクス・ソルス","土屋隆","https://www.aozora.gr.jp/cards/000125/files/45231_ruby_24950.zip","2009-09-13","ShiftJIS","JIS X 0208","1","https://www.aozora.gr.jp/cards/000125/files/45231_25763.html","2007-01-16","ShiftJIS","JIS X 0208","0"
"018403","愛護若","あいごのわか","あいこのわか","","","","「土俗と伝説　第一巻第一―三号」1918（大正7年）8月～10月","NDC 388","新字旧仮名","なし",2004-01-23,2014-09-18,"https://www.aozora.gr.jp/cards/000933/card18403.html","000933","折口","信夫","おりくち","しのぶ","おりくち","しのふ","Orikuchi","Shinobu","著者","1887-02-11","1953-09-03","なし","折口信夫全集　2","中央公論社","1995（平成7）年3月10日","1995（平成7）年3月10日初版","1995（平成7）年3月10日初版","古代研究　民俗学篇第一","大岡山書店","1929（昭和4）年4月10日","","","","","","","","","高柳典子","多羅尾伴内","https://www.aozora.gr.jp/cards/000933/files/18403_ruby_14404.zip","2004-01-24","ShiftJIS","JIS X 0208","1","https://www.aozora.gr.jp/cards/000933/files/18403_14406.html","2004-01-24","ShiftJIS","JIS X 0208","1"
